category,source_path,bytes,sha256,title,learning_resource_types
download/subtitle,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/10.srt,74572,1ef2475ad350a9ab670e047beda37df9f5fa71279228ae5a09886d8416b6cc4e,10.srt,
download/subtitle,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/11.srt,66610,a9294639f67ef16efb800d0f4f64128ea5b1ff28e3abe5476dd984be8553fd26,11.srt,
download/subtitle,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/12.srt,73517,a7854047a19001a67b5bf45a6507a250eb90f87deb5522f1009718532ec51599,12.srt,
download/subtitle,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/13.srt,72934,4958099b6129473c350d03e94bc2917e2c4b3ac0854dae000b79e5e164b3b047,13.srt,
download/subtitle,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/14.srt,73017,258d5ca6fdd5962c9b4beb14f350abfd9ee25a6bd124828819bd043bc4aac2cb,14.srt,
download/subtitle,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/15.srt,70803,763313ab6d500d9f9706c22d8e0ddd3b99a4a5bb25e80b63e7ed1e6dd385cee0,15.srt,
download/subtitle,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/16.srt,72479,61cd5cd00f29b3cb881fb1482d16cbd37f8f6cfba5fa950c1bacd761a3899e6c,16.srt,
download/subtitle,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/17.srt,75255,4c5569b1ef1ef6d773d2e978514b362a5ee174e8cc3a9d3a43b7b9ea2c570c02,17.srt,
download/subtitle,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/18.srt,72305,9369533ae06af2c22dd7018ce6d3f24dc47fda5e148a090727f315476df1786f,18.srt,
download/subtitle,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/19.srt,91305,b0a4f27dea19b29988cdad71b400372e272b855a75733120404eaf495650f5cf,19.srt,
download/subtitle,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/20.srt,81216,887d2b7af188cda2b93e22578f5d6b63ec880e4e5b88e97bc334b357450ac3cc,20.srt,
download/subtitle,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/21.srt,89715,a6546f3982898faad524fd9febf7088f02ece06001771e60aa8fe2f0afed6585,21.srt,
download/subtitle,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/22.srt,82407,2866c626f9db86cb8307f2995ef2ad0204a3392bb0e80050adbc2fb1f59e5d12,22.srt,
download/subtitle,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/23.srt,81689,76b816310a9dfc864f88704c79af43f4e71f1faa1aad7c1c04665ed5c62f1c65,23.srt,
download/subtitle,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/24.srt,95281,18007bf88ebef082e7704a5a93c33e506efc1189ad15407eb89d9bfc537c6b42,24.srt,
download/subtitle,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/25.srt,77954,d02eb55b367a8ca2d99d5355c25765581f70090cf923010dd5aa7bbe58b72ed1,25.srt,
download/subtitle,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/26.srt,73040,1a7dc87d16915b0a7f8e8d5ef540a95751e892a120dc7ff2cf8377a6dc84a012,26.srt,
download/subtitle,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/27.srt,76304,65a1a659fec5063d4c46fff4560e3d096d6ef923d15ed4580a452cb92d4f48d6,27.srt,
download/subtitle,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/28.srt,79328,014a2fb0bd569a83dbffa6201ac350d636c04f82e5f16c9cb75234372ece7a94,28.srt,
